date,company,category,value,source
2016-06-01,OTECEL S.A.,TELEFONIA E INTERNET,1704905.0,servicios
2016-06-01,OTECEL S.A.,INTERNET,46057.0,servicios
2016-06-01,OTECEL S.A.,DATOS,182921.0,servicios
2016-06-01,OTECEL S.A.,TOTAL_EMPRESA,4392705.0,servicios
2016-06-01,OTECEL S.A.,CHECK_SUM_SERVICIOS,4392705.0,servicios
2016-06-01,CNT EP,TELEFONIA,389964.0,servicios
2016-06-01,CNT EP,TELEFONIA E INTERNET,697115.0,servicios
2016-06-01,CNT EP,INTERNET,53989.0,servicios
2016-06-01,CNT EP,DATOS,141858.0,servicios
2016-06-01,CNT EP,TOTAL_EMPRESA,1282926.0,servicios
2016-06-01,CNT EP,CHECK_SUM_SERVICIOS,1282926.0,servicios
2016-06-01,TOTAL_MERCADO,TOTAL_MERCADO,14540064.0,servicios
2016-06-01,TOTAL_MERCADO,CHECK_SUM_TOTALES_EMPRESA,14540064.0,servicios
2016-07-01,CONECEL S.A.,TELEFONIA,5533452.0,servicios
2016-07-01,CONECEL S.A.,TELEFONIA E INTERNET,3005745.0,servicios
2016-07-01,CONECEL S.A.,INTERNET,226705.0,servicios
2016-07-01,CONECEL S.A.,DATOS,127571.0,servicios
2016-07-01,CONECEL S.A.,TOTAL_EMPRESA,8893473.0,servicios
2016-07-01,CONECEL S.A.,CHECK_SUM_SERVICIOS,8893473.0,servicios
2016-07-01,OTECEL S.A.,TELEFONIA,2531622.0,servicios
2016-07-01,OTECEL S.A.,TELEFONIA E INTERNET,1739019.0,servicios
2016-07-01,OTECEL S.A.,INTERNET,44993.0,servicios
2016-07-01,OTECEL S.A.,DATOS,184191.0,servicios
2016-07-01,OTECEL S.A.,TOTAL_EMPRESA,4499825.0,servicios
2016-07-01,OTECEL S.A.,CHECK_SUM_SERVICIOS,4499825.0,servicios
2016-07-01,CNT EP,TELEFONIA,424819.0,servicios
2016-07-01,CNT EP,TELEFONIA E INTERNET,708830.0,servicios
2016-07-01,CNT EP,INTERNET,52804.0,servicios
